artist,title,artist_list,total_weeks,peak_rank,debut_rank,peak_week,rise_rate
Gunna Featuring Burna Boy,wgft,"['Gunna', 'Burna Boy']",19,40.0,94.0,13,4.153846153846154
Gwen Stefani,Shake The Snow Globe,['Gwen Stefani'],3,71.0,86.0,2,7.5
Gwen Stefani,Used To Love You,['Gwen Stefani'],5,61.0,67.0,3,2.0
H.E.R. Featuring YG,Slide,"['H.E.R.', 'YG']",20,43.0,85.0,16,2.625
HARDY,Favorite Country Song,['HARDY'],8,76.0,100.0,7,3.4285714285714284
"HUNTR/X: EJAE, Audrey Nuna & REI AMI",Golden,"['HUNTR/X', 'EJAE', 'Audrey Nuna', 'REI AMI']",26,1.0,81.0,6,13.333333333333334
"HUNTR/X: EJAE, Audrey Nuna & REI AMI",How It's Done,"['HUNTR/X', 'EJAE', 'Audrey Nuna', 'REI AMI']",22,8.0,42.0,10,3.4
"HUNTR/X: EJAE, Audrey Nuna & REI AMI",Takedown,"['HUNTR/X', 'EJAE', 'Audrey Nuna', 'REI AMI']",20,21.0,64.0,8,5.375
"HUNTR/X: EJAE, Audrey Nuna & REI AMI",What It Sounds Like,"['HUNTR/X', 'EJAE', 'Audrey Nuna', 'REI AMI']",21,15.0,55.0,10,4.0
Hailee Steinfeld,Most Girls,['Hailee Steinfeld'],16,58.0,77.0,8,2.375
Hailee Steinfeld & Grey Featuring Zedd,Starving,"['Hailee Steinfeld', 'Grey', 'Zedd']",29,12.0,96.0,17,4.9411764705882355
Halsey,Bad At Love,['Halsey'],32,5.0,81.0,18,4.222222222222222
Halsey,Graveyard,['Halsey'],20,34.0,45.0,10,1.1
Halsey,New Americana,['Halsey'],6,60.0,80.0,2,10.0
Halsey,Now Or Never,['Halsey'],20,17.0,50.0,13,2.5384615384615383
Halsey,So Good,['Halsey'],16,51.0,55.0,13,0.3076923076923077
Halsey,Without Me,['Halsey'],52,1.0,18.0,12,1.4166666666666667
Halsey,You Should Be Sad,['Halsey'],18,26.0,29.0,1,3.0
Hanumankind X Kalmi,Big Dawgs,"['Hanumankind', 'Kalmi']",13,23.0,57.0,2,17.0
Harry Styles,Adore You,['Harry Styles'],50,6.0,35.0,16,1.8125
Harry Styles,Late Night Talking,['Harry Styles'],24,3.0,4.0,15,0.06666666666666667
Hey Violet,Guys My Age,['Hey Violet'],5,68.0,84.0,3,5.333333333333333
High Valley,She's With Me,['High Valley'],8,79.0,96.0,5,3.4
Hitkidd & GloRilla,F.N.F. (Let's Go),"['Hitkidd', 'GloRilla']",20,42.0,91.0,15,3.2666666666666666
Hotel Ugly,Shut Up My Moms Calling,['Hotel Ugly'],8,68.0,96.0,2,14.0
Hudson Westbrook,House Again,['Hudson Westbrook'],35,47.0,98.0,25,2.04
"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble",The Greatest Show,"['Hugh Jackman', 'Keala Settle', 'Zac Efron', 'Zendaya', 'The Greatest Showman Ensemble']",4,88.0,95.0,1,7.0
Ice Spice,In Ha Mood,['Ice Spice'],16,58.0,85.0,5,5.4
Ice Spice & Central Cee,Did It First,"['Ice Spice', 'Central Cee']",5,51.0,62.0,2,5.5
Idina Menzel & Evan Rachel Wood,Show Yourself,"['Idina Menzel', 'Evan Rachel Wood']",3,70.0,99.0,1,29.0
Imagine Dragons,Believer,['Imagine Dragons'],51,4.0,43.0,26,1.5
Imagine Dragons,Natural,['Imagine Dragons'],27,13.0,37.0,11,2.1818181818181817
Imagine Dragons,Thunder,['Imagine Dragons'],51,4.0,70.0,28,2.357142857142857
Imagine Dragons X JID,Enemy,"['Imagine Dragons', 'JID']",36,5.0,85.0,18,4.444444444444445
Ingrid Andress,More Hearts Than Mine,['Ingrid Andress'],20,30.0,88.0,16,3.625
Ingrid Andress With Sam Hunt,Wishful Drinking,"['Ingrid Andress', 'Sam Hunt']",20,47.0,71.0,14,1.7142857142857142
Internet Money & Gunna Featuring Don Toliver & Nav,Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'Nav']",29,6.0,66.0,12,5.0
"Internet Money, Lil Tecca & A Boogie wit da Hoodie",Somebody,"['Internet Money', 'Lil Tecca', 'A Boogie wit da Hoodie']",4,96.0,97.0,3,0.3333333333333333
Ivan Cornejo,Esta Danada,['Ivan Cornejo'],5,61.0,96.0,1,35.0
J Balvin & Willy William Featuring Beyonce,Mi Gente,"['J Balvin', 'Willy William', 'Beyonce']",29,3.0,70.0,13,5.153846153846154
J. Cole,False Prophets,['J. Cole'],2,54.0,93.0,1,39.0
J. Cole,Middle Child,['J. Cole'],27,4.0,26.0,1,22.0
J. Cole,Snow On Tha Bluff,['J. Cole'],2,54.0,59.0,1,5.0
J.I The Prince Of N.Y,Need Me,['J.I The Prince Of N.Y'],2,95.0,100.0,1,5.0
"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE",Takedown,"['JEONGYEON', 'JIHYO', 'CHAEYOUNG Of TWICE']",19,50.0,86.0,7,5.142857142857143
JNR CHOI & Sam Tompkins,To The Moon!,"['JNR CHOI', 'Sam Tompkins']",20,38.0,95.0,7,8.142857142857142
JP Saxe Featuring Julia Michaels,If The World Was Ending,"['JP Saxe', 'Julia Michaels']",29,27.0,96.0,22,3.1363636363636362
JVKE,Golden Hour,['JVKE'],33,10.0,71.0,21,2.9047619047619047
Jack Black,Peaches,['Jack Black'],5,56.0,83.0,1,27.0
Jack Harlow,Lovin On Me,['Jack Harlow'],38,1.0,2.0,1,1.0
Jackson Dean,Heavens To Betsy,['Jackson Dean'],3,71.0,95.0,2,12.0
Jacquees,B.E.D.,['Jacquees'],13,69.0,94.0,4,6.25
Jacquees,You,['Jacquees'],12,58.0,90.0,6,5.333333333333333
Jacquees X DeJ Loaf,At The Club,"['Jacquees', 'DeJ Loaf']",7,86.0,92.0,2,3.0
Jake Owen,Down To The Honkytonk,['Jake Owen'],13,65.0,80.0,12,1.25
Jake Owen,Homemade,['Jake Owen'],16,39.0,88.0,7,7.0
Jake Owen,I Was Jack (You Were Diane),['Jake Owen'],11,43.0,93.0,8,6.25
Jake Owen,Made For You,['Jake Owen'],20,32.0,92.0,10,6.0
James Arthur,Say You Won't Let Go,['James Arthur'],52,11.0,100.0,29,3.0689655172413794
James Bay,Let It Go,['James Bay'],34,16.0,98.0,28,2.9285714285714284
Jameson Rodgers Featuring Luke Combs,Cold Beer Calling My Name,"['Jameson Rodgers', 'Luke Combs']",19,26.0,95.0,12,5.75
Jana Kramer,I Got The Boy,['Jana Kramer'],7,56.0,71.0,4,3.75
Jason Aldean,Any Ol' Barstool,['Jason Aldean'],18,52.0,93.0,11,3.727272727272727
Jason Aldean,Blame It On You,['Jason Aldean'],17,30.0,97.0,11,6.090909090909091
Jason Aldean,Gonna Know We Were Here,['Jason Aldean'],7,54.0,66.0,3,4.0
Jason Aldean,Got What I Got,['Jason Aldean'],25,16.0,78.0,19,3.263157894736842
Jason Aldean,Rearview Town,['Jason Aldean'],18,40.0,97.0,10,5.7
Jason Aldean,That's What Tequila Does,['Jason Aldean'],8,77.0,97.0,6,3.3333333333333335
Jason Aldean,They Don't Know,['Jason Aldean'],12,67.0,87.0,9,2.2222222222222223
Jason Aldean,Try That In A Small Town,['Jason Aldean'],20,1.0,2.0,1,1.0
Jason Aldean,Whiskey Drink,['Jason Aldean'],8,77.0,98.0,6,3.5
Jason Derulo,Get Ugly,['Jason Derulo'],12,52.0,100.0,5,9.6
Jason Derulo,If It Ain't Love,['Jason Derulo'],8,67.0,94.0,4,6.75
Jason Derulo Featuring Adam Levine,Lifestyle,"['Jason Derulo', 'Adam Levine']",5,71.0,95.0,3,8.0
Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,Swalla,"['Jason Derulo', 'Nicki Minaj', 'Ty Dolla $ign']",20,29.0,98.0,11,6.2727272727272725
Jax,Victoria's Secret,['Jax'],25,35.0,83.0,10,4.8
"Jay Rock, Kendrick Lamar, Future & James Blake",King's Dead,"['Jay Rock', 'Kendrick Lamar', 'Future', 'James Blake']",20,21.0,91.0,8,8.75
Jelly Roll,Halfway To Hell,['Jelly Roll'],12,48.0,84.0,8,4.5
Jelly Roll,Heart Of Stone,['Jelly Roll'],13,53.0,86.0,6,5.5
Jelly Roll,Son Of A Sinner,['Jelly Roll'],28,31.0,67.0,12,3.0
Jeremih,Oui,['Jeremih'],27,19.0,81.0,13,4.769230769230769
Jessica Darrow,Surface Pressure,['Jessica Darrow'],19,8.0,54.0,5,9.2
Jessie Murph,Blue Strips,['Jessie Murph'],22,15.0,81.0,3,22.0
Jessie Murph & Jelly Roll,Wild Ones,"['Jessie Murph', 'Jelly Roll']",37,35.0,49.0,15,0.9333333333333333
"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce,"['Jhay Cortez', 'J Balvin', 'Bad Bunny']",14,71.0,95.0,5,4.8
Jhene Aiko,P*$$y Fairy (OTW),['Jhene Aiko'],25,40.0,58.0,7,2.5714285714285716
