artist,title,artist_list,total_weeks,peak_rank,debut_rank,end_rank,peak_week,decay_rate,post_peak_length
Taylor Swift Featuring Florence + The Machine,Florida!!!,"['Taylor Swift', 'Florence + The Machine']",7,8.0,8.0,84.0,0,-12.666666666666666,6
Taylor Swift Featuring Haim,"No Body, No Crime","['Taylor Swift', 'Haim']",2,34.0,34.0,97.0,0,-63.0,1
Taylor Swift Featuring Sabrina Carpenter,The Life Of A Showgirl,"['Taylor Swift', 'Sabrina Carpenter']",9,8.0,8.0,99.0,0,-11.375,8
Teddy Swims,The Door,['Teddy Swims'],25,24.0,94.0,33.0,17,-1.2857142857142858,7
Tee Grizzley,First Day Out,['Tee Grizzley'],20,48.0,88.0,84.0,12,-5.142857142857143,7
Tems,Free Mind,['Tems'],21,46.0,90.0,78.0,11,-3.5555555555555554,9
Tenille Arts,Somebody Like That,['Tenille Arts'],16,50.0,97.0,78.0,13,-14.0,2
That Mexican OT,02.02.99,['That Mexican OT'],3,74.0,88.0,93.0,1,-19.0,1
"That Mexican OT, Paul Wall & DRODi",Johnny Dang,"['That Mexican OT', 'Paul Wall', 'DRODi']",12,65.0,97.0,78.0,5,-2.1666666666666665,6
The Beatles,Now And Then,['The Beatles'],2,7.0,7.0,76.0,0,-69.0,1
The Carters,Apes**t,['The Carters'],15,13.0,13.0,97.0,0,-6.0,14
The Carters,Boss,['The Carters'],2,77.0,77.0,99.0,0,-22.0,1
The Chainsmokers,High,['The Chainsmokers'],9,57.0,57.0,85.0,0,-3.5,8
The Chainsmokers,Honest,['The Chainsmokers'],4,77.0,88.0,81.0,1,-2.0,2
The Chainsmokers,Paris,['The Chainsmokers'],20,6.0,7.0,46.0,5,-2.857142857142857,14
The Chainsmokers,Sick Boy,['The Chainsmokers'],3,65.0,65.0,97.0,0,-16.0,2
The Chainsmokers & Bebe Rexha,Call You Mine,"['The Chainsmokers', 'Bebe Rexha']",14,56.0,67.0,76.0,9,-5.0,4
The Chainsmokers & Coldplay,Something Just Like This,"['The Chainsmokers', 'Coldplay']",39,3.0,56.0,49.0,5,-1.393939393939394,33
The Chainsmokers Featuring 5 Seconds of Summer,Who Do You Love,"['The Chainsmokers', '5 Seconds of Summer']",16,52.0,56.0,89.0,6,-4.111111111111111,9
